Training Error: 0.000000	
count,zeroprob	44	56
0010.2003-12-18.GP	-1000000000.000000	-55.316830
0010.2001-06-28.SA_and_HP	-1000000000.000000	-3456.055866
0001.2000-01-17.beck	-3628.592339	-1000000000.000000
0018.1999-12-14.kaminski	-988.159991	-1000000000.000000
0005.1999-12-12.kaminski	-777.593930	-1000000000.000000
0011.2001-06-29.SA_and_HP	-1000000000.000000	-15962.696793
0008.2004-08-01.BG	-1000000000.000000	-5938.923501
0009.1999-12-14.farmer	-589.805873	-1000000000.000000
0017.2003-12-18.GP	-1000000000.000000	-211.571639
0011.2001-06-28.SA_and_HP	-1000000000.000000	-1496.171699
0015.2001-07-05.SA_and_HP	-1000000000.000000	-932.059099
0015.2001-02-12.kitchen	-5027.774416	-1000000000.000000
0009.2001-06-26.SA_and_HP	-1000000000.000000	-1274.550319
0017.1999-12-14.kaminski	-380.540486	-1000000000.000000
0012.2000-01-17.beck	-2740.222547	-1000000000.000000
0003.2000-01-17.beck	-1266.125083	-1000000000.000000
0004.2001-06-12.SA_and_HP	-1000000000.000000	-894.550862
0008.2001-06-12.SA_and_HP	-1000000000.000000	-894.550862
0007.2001-02-09.kitchen	-1652.851395	-1000000000.000000
0016.2004-08-01.BG	-1000000000.000000	-659.526600
0015.2000-06-09.lokay	-141.734860	-1000000000.000000
0005.1999-12-14.farmer	-1086.540133	-1000000000.000000
0016.1999-12-15.farmer	-740.821221	-1000000000.000000
0013.2004-08-01.BG	-1000000000.000000	-1516.883469
0005.2003-12-18.GP	-1000000000.000000	-7662.008571
0012.2001-02-09.kitchen	-489.604258	-1000000000.000000
0003.2001-02-08.kitchen	-1328.429372	-1000000000.000000
0009.2001-02-09.kitchen	-5683.511342	-1000000000.000000
0006.2001-02-08.kitchen	-9711.807285	-1000000000.000000
0014.2003-12-19.GP	-1000000000.000000	-174.019524
0010.1999-12-14.farmer	-1379.201515	-1000000000.000000
0010.2004-08-01.BG	-1000000000.000000	-2372.297577
0014.1999-12-14.kaminski	-1753.450314	-1000000000.000000
0006.1999-12-13.kaminski	-492.008252	-1000000000.000000
0011.1999-12-14.farmer	-1908.425530	-1000000000.000000
0013.1999-12-14.kaminski	-1244.284239	-1000000000.000000
0001.2001-02-07.kitchen	-336.646947	-1000000000.000000
0008.2001-02-09.kitchen	-4183.541952	-1000000000.000000
0007.2003-12-18.GP	-1000000000.000000	-1272.033171
0017.2004-08-02.BG	-1000000000.000000	-2645.345030
0014.2004-08-01.BG	-1000000000.000000	-818.624670
0006.2003-12-18.GP	-1000000000.000000	-1149.101126
0016.2001-07-05.SA_and_HP	-1000000000.000000	-932.059099
0008.2003-12-18.GP	-1000000000.000000	-1018.973163
0014.2001-07-04.SA_and_HP	-1000000000.000000	-3610.868416
0001.2001-04-02.williams	-1364.741873	-1000000000.000000
0012.2000-06-08.lokay	-910.184001	-1000000000.000000
0014.1999-12-15.farmer	-1176.968494	-1000000000.000000
0009.2000-06-07.lokay	-2694.596537	-1000000000.000000
0001.1999-12-10.farmer	-44.714622	-1000000000.000000
0008.2001-06-25.SA_and_HP	-1000000000.000000	-4433.339528
0017.2001-04-03.williams	-438.336438	-1000000000.000000
0014.2001-02-12.kitchen	-1444.307516	-1000000000.000000
0016.2001-07-06.SA_and_HP	-1000000000.000000	-16821.891197
0015.1999-12-15.farmer	-829.093564	-1000000000.000000
0009.1999-12-13.kaminski	-6330.956431	-1000000000.000000
0001.2000-06-06.lokay	-3656.550806	-1000000000.000000
0011.2004-08-01.BG	-1000000000.000000	-676.867410
0004.2004-08-01.BG	-1000000000.000000	-800.858948
0018.2003-12-18.GP	-1000000000.000000	-3488.565338
0002.1999-12-13.farmer	-2906.357969	-1000000000.000000
0016.2003-12-19.GP	-1000000000.000000	-799.577775
0004.1999-12-14.farmer	-1102.792630	-1000000000.000000
0015.2003-12-19.GP	-1000000000.000000	-1296.946300
0006.2004-08-01.BG	-1000000000.000000	-1063.366585
0009.2003-12-18.GP	-1000000000.000000	-778.902558
0007.1999-12-14.farmer	-689.515700	-1000000000.000000
0005.2000-06-06.lokay	-425.885545	-1000000000.000000
0010.1999-12-14.kaminski	-201.084174	-1000000000.000000
0007.2000-01-17.beck	-2754.069037	-1000000000.000000
0003.1999-12-14.farmer	-78.266071	-1000000000.000000
0003.2004-08-01.BG	-1000000000.000000	-783.235519
0017.2004-08-01.BG	-1000000000.000000	-921.727375
0013.2001-06-30.SA_and_HP	-1000000000.000000	-28415.476872
0003.1999-12-10.kaminski	-412.100803	-1000000000.000000
0012.1999-12-14.farmer	-3207.512239	-1000000000.000000
0004.1999-12-10.kaminski	-1085.933136	-1000000000.000000
0018.2001-07-13.SA_and_HP	-1000000000.000000	-3327.999987
0002.2001-02-07.kitchen	-445.866953	-1000000000.000000
0007.2004-08-01.BG	-1000000000.000000	-1478.182135
0012.1999-12-14.kaminski	-983.248804	-1000000000.000000
0005.2001-06-23.SA_and_HP	-1000000000.000000	-189.339428
0007.1999-12-13.kaminski	-1520.983979	-1000000000.000000
0017.2000-01-17.beck	-2750.998601	-1000000000.000000
0006.2001-06-25.SA_and_HP	-1000000000.000000	-387.054605
0006.2001-04-03.williams	-301.633045	-1000000000.000000
0005.2001-02-08.kitchen	-894.568932	-1000000000.000000
0002.2003-12-18.GP	-1000000000.000000	-1293.093393
0003.2003-12-18.GP	-1000000000.000000	-851.891970
0013.2001-04-03.williams	-662.302420	-1000000000.000000
0004.2001-04-02.williams	-681.002141	-1000000000.000000
0010.2001-02-09.kitchen	-3033.157012	-1000000000.000000
0001.1999-12-10.kaminski	-29.483180	-1000000000.000000
0013.1999-12-14.farmer	-1783.952568	-1000000000.000000
0015.1999-12-14.kaminski	-678.138612	-1000000000.000000
0012.2003-12-19.GP	-1000000000.000000	-157.472449
0016.2001-02-12.kitchen	-1180.553382	-1000000000.000000
0002.2004-08-01.BG	-1000000000.000000	-843.304476
0002.2001-05-25.SA_and_HP	-1000000000.000000	-606.539350
0011.2003-12-18.GP	-1000000000.000000	-525.924462
